"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 10, 2020","1,761.43","1,761.43","1,761.43","1,761.43","-","0.19%"
"Aug 07, 2020","1,758.08","1,758.08","1,758.08","1,758.08","-","-0.07%"
"Aug 06, 2020","1,759.28","1,759.28","1,759.28","1,759.28","-","-0.17%"
"Aug 05, 2020","1,762.28","1,762.28","1,762.28","1,762.28","-","-1.80%"
"Aug 04, 2020","1,794.60","1,794.60","1,794.60","1,794.60","-","-0.17%"
"Aug 03, 2020","1,797.67","1,797.67","1,797.67","1,797.67","-","-0.75%"
"Jul 29, 2020","1,811.29","1,811.29","1,811.29","1,811.29","-","-3.65%"
"Jul 28, 2020","1,879.84","1,879.84","1,879.84","1,879.84","-","0.29%"
"Jul 27, 2020","1,874.33","1,874.33","1,874.33","1,874.33","-","-0.66%"
"Jul 24, 2020","1,886.84","1,886.84","1,886.84","1,886.84","-","0.32%"
"Jul 23, 2020","1,880.84","1,880.84","1,880.84","1,880.84","-","-0.30%"
"Jul 22, 2020","1,886.45","1,886.45","1,886.45","1,886.45","-","-1.04%"
"Jul 21, 2020","1,906.25","1,906.25","1,906.25","1,906.25","-","-0.18%"
"Jul 20, 2020","1,909.63","1,909.63","1,909.63","1,909.63","-","0.01%"
"Jul 17, 2020","1,909.36","1,909.36","1,909.36","1,909.36","-","0.15%"
"Jul 16, 2020","1,906.43","1,906.43","1,906.43","1,906.43","-","-0.37%"
"Jul 15, 2020","1,913.57","1,913.57","1,913.57","1,913.57","-","1.05%"
"Jul 14, 2020","1,893.65","1,893.65","1,893.65","1,893.65","-","-0.38%"
"Jul 13, 2020","1,900.81","1,900.81","1,900.81","1,900.81","-","-0.02%"
"Jul 10, 2020","1,901.28","1,901.28","1,901.28","1,901.28","-","-0.34%"
"Jul 09, 2020","1,907.82","1,907.82","1,907.82","1,907.82","-","-0.74%"
"Jul 08, 2020","1,921.99","1,921.99","1,921.99","1,921.99","-","-1.68%"
"Jul 07, 2020","1,954.93","1,954.93","1,954.93","1,954.93","-","0.30%"
"Jul 06, 2020","1,949.12","1,949.12","1,949.12","1,949.12","-","0.16%"
"Jul 03, 2020","1,945.97","1,945.97","1,945.97","1,945.97","-","0.02%"
"Jul 02, 2020","1,945.64","1,945.64","1,945.64","1,945.64","-","-0.10%"
"Jul 01, 2020","1,947.64","1,947.64","1,947.64","1,947.64","-","0.28%"
"Jun 30, 2020","1,942.12","1,942.12","1,942.12","1,942.12","-","-0.52%"
"Jun 29, 2020","1,952.26","1,952.26","1,952.26","1,952.26","-","0.70%"
"Jun 26, 2020","1,938.62","1,938.62","1,938.62","1,938.62","-","0.03%"
"Jun 25, 2020","1,937.96","1,937.96","1,937.96","1,937.96","-","-0.29%"
"Jun 24, 2020","1,943.50","1,943.50","1,943.50","1,943.50","-","-0.32%"
"Jun 23, 2020","1,949.82","1,949.82","1,949.82","1,949.82","-","-0.39%"
"Jun 22, 2020","1,957.54","1,957.54","1,957.54","1,957.54","-","-0.60%"
"Jun 19, 2020","1,969.45","1,969.45","1,969.45","1,969.45","-","-0.13%"
"Jun 18, 2020","1,971.93","1,971.93","1,971.93","1,971.93","-","-1.62%"
"Jun 17, 2020","2,004.36","2,004.36","2,004.36","2,004.36","-","-1.05%"
"Jun 16, 2020","2,025.55","2,025.55","2,025.55","2,025.55","-","0.13%"
"Jun 15, 2020","2,022.95","2,022.95","2,022.95","2,022.95","-","0.56%"
"Jun 12, 2020","2,011.77","2,011.77","2,011.77","2,011.77","-","0.84%"
"Jun 11, 2020","1,995.03","1,995.03","1,995.03","1,995.03","-","0.43%"
"Jun 10, 2020","1,986.48","1,986.48","1,986.48","1,986.48","-","0.23%"
"Jun 09, 2020","1,982.00","1,982.00","1,982.00","1,982.00","-","0.69%"
"Jun 08, 2020","1,968.42","1,968.42","1,968.42","1,968.42","-","1.49%"
"Jun 05, 2020","1,939.59","1,939.59","1,939.59","1,939.59","-","0.44%"
"Jun 04, 2020","1,931.18","1,931.18","1,931.18","1,931.18","-","-0.26%"
