"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2020","6,623.32","6,805.25","6,805.25","6,593.14","593.06K","-2.77%"
"Mar 12, 2020","6,811.72","6,918.69","6,919.95","6,782.46","1.76M","-1.49%"
"Mar 11, 2020","6,914.63","6,864.03","6,923.81","6,854.72","432.29K","0.73%"
"Mar 10, 2020","6,864.83","6,915.45","6,915.45","6,778.39","418.61K","-0.83%"
"Mar 09, 2020","6,922.09","7,020.94","7,024.60","6,909.53","798.05K","-1.47%"
"Mar 06, 2020","7,025.31","7,130.67","7,135.50","6,984.86","540.93K","-1.23%"
"Mar 05, 2020","7,112.99","7,171.32","7,177.25","7,066.53","617.75K","-0.70%"
"Mar 04, 2020","7,163.22","7,182.49","7,189.30","7,142.34","329.50K","-0.25%"
"Mar 03, 2020","7,180.89","7,210.00","7,232.07","7,145.85","551.59K","-0.33%"
"Mar 02, 2020","7,204.39","7,176.88","7,219.71","7,176.88","390.55K","0.46%"
"Feb 28, 2020","7,171.31","7,150.52","7,180.80","7,150.52","531.12K","0.29%"
"Feb 27, 2020","7,150.68","7,135.52","7,150.83","7,121.46","244.23K","0.21%"
"Feb 26, 2020","7,135.53","7,144.05","7,164.76","7,121.64","176.36K","-0.17%"
"Feb 25, 2020","7,147.42","7,176.24","7,187.85","7,140.72","292.32K","-0.36%"
"Feb 24, 2020","7,173.11","7,179.81","7,185.99","7,152.22","331.37K","0.07%"
"Feb 21, 2020","7,168.03","7,170.94","7,176.94","7,157.05","581.13K","-0.01%"
"Feb 20, 2020","7,168.43","7,174.01","7,190.68","7,147.63","445.12K","0.10%"
"Feb 19, 2020","7,160.96","7,151.31","7,160.96","7,131.60","425.99K","0.16%"
"Feb 18, 2020","7,149.78","7,153.80","7,159.77","7,116.62","376.01K","0.16%"
"Feb 17, 2020","7,138.31","7,116.17","7,144.12","7,105.04","375.37K","0.32%"
