"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 23, 2020","24,751.32","24,753.92","24,756.88","24,649.39","167.90M","-0.11%"
"Jun 22, 2020","24,779.26","24,826.75","24,877.30","24,651.30","124.66M","-0.19%"
"Jun 19, 2020","24,826.75","24,933.41","25,123.72","24,819.12","174.67M","-0.43%"
"Jun 18, 2020","24,933.41","24,972.89","25,054.28","24,913.26","171.16M","-0.16%"
"Jun 17, 2020","24,972.94","24,930.88","24,973.59","24,816.45","265.95M","0.17%"
"Jun 16, 2020","24,930.88","24,954.89","25,046.42","24,930.65","200.37M","-0.10%"
"Jun 15, 2020","24,956.04","25,182.67","25,196.62","24,757.68","237.63M","-0.90%"
"Jun 11, 2020","25,182.67","25,215.04","25,302.85","25,182.67","337.13M","-0.13%"
"Jun 10, 2020","25,215.04","25,335.15","25,351.29","25,130.61","266.65M","-0.47%"
"Jun 09, 2020","25,335.15","25,249.96","25,368.78","25,249.96","268.74M","0.34%"
"Jun 08, 2020","25,250.20","25,016.30","25,412.54","25,016.30","230.49M","0.93%"
"Jun 05, 2020","25,016.30","25,312.05","25,325.87","24,875.56","214.50M","-1.17%"
"Jun 04, 2020","25,312.05","25,407.96","25,434.62","25,312.05","270.18M","-0.38%"
"Jun 03, 2020","25,407.96","25,383.43","25,445.47","25,308.50","353.26M","0.10%"
"Jun 02, 2020","25,383.43","25,316.24","25,458.53","25,316.24","377.86M","0.25%"
"Jun 01, 2020","25,321.29","25,267.82","25,396.10","25,180.37","253.13M","0.21%"
"May 29, 2020","25,267.82","25,166.01","25,393.03","25,164.06","325.59M","0.40%"
"May 28, 2020","25,166.01","25,229.02","25,463.11","25,131.33","348.21M","-0.22%"
"May 27, 2020","25,221.29","25,204.75","25,469.93","25,054.11","581.59M","0.07%"
"May 22, 2020","25,204.75","24,758.39","25,205.18","24,742.12","259.57M","1.80%"
"May 21, 2020","24,758.39","24,452.23","24,769.40","24,426.56","350.66M","1.25%"
"May 20, 2020","24,452.23","24,202.87","24,467.28","24,185.62","436.77M","1.03%"
"May 19, 2020","24,202.87","23,943.29","24,205.89","23,943.29","339.75M","0.80%"
"May 18, 2020","24,010.19","23,874.77","24,010.19","23,871.33","330.98M","0.58%"
"May 15, 2020","23,871.33","23,872.44","23,931.49","23,840.80","221.44M","-0.09%"
"May 14, 2020","23,892.92","23,709.44","23,892.92","23,709.20","182.74M","0.77%"
"May 13, 2020","23,709.44","23,695.90","23,759.84","23,695.90","159.19M","0.06%"
"May 12, 2020","23,695.90","23,950.83","23,982.29","23,542.33","155.65M","-1.06%"
"May 11, 2020","23,950.83","24,045.40","24,058.15","23,949.18","204.72M","-0.39%"
"May 08, 2020","24,045.40","24,361.14","24,403.77","24,030.65","208.56M","-1.27%"
"May 07, 2020","24,354.25","24,143.37","24,369.45","24,039.70","431.57M","0.87%"
"May 06, 2020","24,143.37","23,815.34","24,154.65","23,807.14","426.63M","1.40%"
"May 05, 2020","23,809.31","23,089.86","23,809.39","23,075.49","343.95M","3.12%"
"May 04, 2020","23,089.86","23,021.01","23,121.74","22,940.24","249.83M","0.30%"
"Apr 30, 2020","23,021.01","22,868.40","23,045.44","22,636.59","359.46M","0.67%"
"Apr 29, 2020","22,868.40","22,727.87","22,884.49","22,727.87","277.29M","0.62%"
"Apr 28, 2020","22,727.87","22,616.28","22,761.25","22,616.28","266.62M","0.49%"
"Apr 27, 2020","22,616.28","22,599.38","22,649.20","22,584.64","106.06M","0.07%"
"Apr 24, 2020","22,599.38","22,470.79","22,672.22","22,458.37","211.53M","0.57%"
"Apr 23, 2020","22,470.79","22,780.30","22,805.14","22,407.60","201.48M","-1.36%"
"Apr 22, 2020","22,780.30","22,629.92","22,799.78","22,629.92","185.21M","0.66%"
"Apr 21, 2020","22,629.92","22,920.41","22,920.41","22,612.97","248.16M","-1.27%"
"Apr 20, 2020","22,920.56","22,921.59","23,143.34","22,920.13","343.24M","-0.00%"
"Apr 17, 2020","22,921.59","22,554.84","22,927.88","22,524.23","231.60M","1.63%"
"Apr 16, 2020","22,554.84","22,539.94","22,634.28","22,380.94","379.11M","0.07%"
"Apr 15, 2020","22,539.94","21,879.95","22,543.48","21,873.47","326.39M","3.02%"
"Apr 14, 2020","21,879.95","21,384.03","21,883.39","21,239.02","264.74M","2.32%"
"Apr 09, 2020","21,384.03","21,073.26","21,385.85","20,985.63","314.85M","1.47%"
"Apr 08, 2020","21,073.26","20,925.19","21,150.01","20,925.19","346.41M","0.71%"
"Apr 07, 2020","20,925.19","20,683.16","20,925.19","20,667.55","342.57M","1.24%"
"Apr 06, 2020","20,669.38","21,094.62","21,208.95","20,651.59","336.42M","-2.02%"
"Apr 03, 2020","21,094.62","21,166.38","21,197.32","20,769.37","235.29M","-0.13%"
"Apr 02, 2020","21,121.20","21,100.54","21,170.00","20,790.71","255.53M","0.10%"
"Apr 01, 2020","21,100.54","21,309.50","21,317.98","20,779.13","154.35M","-0.94%"
"Mar 31, 2020","21,300.47","21,330.79","21,340.64","21,270.26","422.00M","-0.14%"
"Mar 30, 2020","21,330.79","21,828.65","21,828.65","21,330.79","466.87M","-2.43%"
"Mar 27, 2020","21,861.78","21,842.18","21,885.05","21,803.89","251.41M","0.48%"
"Mar 26, 2020","21,757.47","21,729.48","21,903.00","21,696.88","172.16M","0.13%"
"Mar 25, 2020","21,729.48","21,743.47","21,814.74","21,663.32","233.07M","-0.05%"
"Mar 24, 2020","21,741.16","21,703.80","21,770.42","21,703.80","330.10M","0.19%"
"Mar 23, 2020","21,700.98","22,198.43","22,208.81","21,694.16","464.36M","-2.24%"
"Mar 20, 2020","22,198.43","22,072.56","22,211.67","22,035.11","379.48M","0.36%"
"Mar 19, 2020","22,118.90","22,785.19","22,785.19","22,118.90","525.85M","-2.94%"
"Mar 18, 2020","22,789.64","22,549.09","22,804.70","22,118.37","671.52M","1.09%"
"Mar 17, 2020","22,543.07","22,705.19","23,008.59","22,497.73","675.82M","-0.71%"
"Mar 16, 2020","22,705.19","22,745.39","22,797.39","22,618.36","551.48M","-0.13%"
"Mar 13, 2020","22,734.07","22,729.01","22,813.47","22,550.08","732.62M","0.17%"
"Mar 12, 2020","22,695.88","23,500.46","23,500.46","22,694.32","1.06B","-3.72%"
"Mar 11, 2020","23,572.75","24,278.53","24,321.51","23,260.07","1.39B","-3.35%"
"Mar 10, 2020","24,388.66","25,412.57","25,412.57","24,381.88","594.47M","-4.91%"
"Mar 09, 2020","25,647.54","26,141.24","26,141.24","25,648.45","185.49M","-2.41%"
