"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 16, 2020","126.52","127.17","127.27","126.52","-","-0.51%"
"Sep 15, 2020","127.17","128.44","128.54","127.17","-","-0.99%"
"Sep 14, 2020","128.44","127.72","128.44","127.72","-","0.56%"
"Sep 11, 2020","127.72","127.94","127.99","127.72","-","-0.17%"
"Sep 10, 2020","127.94","127.24","127.94","127.24","-","0.55%"
"Sep 09, 2020","127.24","127.29","127.42","127.24","-","-0.04%"
"Sep 08, 2020","127.29","128.40","128.54","127.29","-","-0.86%"
"Sep 07, 2020","128.40","128.90","129.02","128.40","-","-0.39%"
"Sep 04, 2020","128.90","128.20","128.90","128.20","-","0.55%"
"Sep 03, 2020","128.20","128.40","128.86","128.20","-","-0.16%"
"Sep 02, 2020","128.40","130.05","130.05","128.40","-","-1.27%"
"Sep 01, 2020","130.05","130.57","130.57","130.05","-","-0.40%"
"Aug 31, 2020","130.57","129.15","130.57","129.15","-","1.10%"
"Aug 28, 2020","129.15","128.92","129.76","128.92","-","0.18%"
"Aug 27, 2020","128.92","129.94","129.98","128.92","-","-0.78%"
"Aug 26, 2020","129.94","128.49","130.05","128.49","-","1.13%"
"Aug 25, 2020","128.49","128.27","128.50","128.27","-","0.17%"
"Aug 24, 2020","128.27","128.54","128.54","128.27","-","-0.21%"
"Aug 21, 2020","128.54","129.29","129.29","128.54","-","-0.58%"
"Aug 20, 2020","129.29","128.96","129.29","128.96","-","0.26%"
"Aug 19, 2020","128.96","129.22","129.26","128.96","-","-0.20%"
"Aug 18, 2020","129.22","129.27","129.37","129.22","-","-0.04%"
"Aug 17, 2020","129.27","129.93","130.19","129.27","-","-0.51%"
"Aug 14, 2020","129.93","129.47","129.93","129.47","-","0.36%"
"Aug 13, 2020","129.47","129.50","129.50","129.47","-","-0.02%"
"Aug 12, 2020","129.50","129.81","129.83","129.50","-","-0.24%"
"Aug 11, 2020","129.81","128.63","129.81","128.63","-","0.92%"
"Aug 10, 2020","128.63","129.67","129.99","128.63","-","-0.80%"
"Aug 06, 2020","129.67","130.01","130.01","129.67","-","-0.26%"
"Aug 05, 2020","130.01","129.03","130.01","129.03","-","0.76%"
"Aug 04, 2020","129.03","126.90","129.03","126.90","-","1.68%"
"Aug 03, 2020","126.90","128.61","128.75","126.90","-","-1.33%"
"Jul 30, 2020","128.61","127.73","128.67","127.73","-","0.69%"
"Jul 29, 2020","127.73","127.73","127.76","127.73","-","0.00%"
